trigger,start_s,end_s,allowed,match,match debug1
58,352.210000,352.212000,1,1,1
81,354.188000,354.190000,1,1,1
51,354.863000,354.865000,1,1,1
81,356.848000,356.850000,1,1,1
76,357.507000,357.509000,1,1,1
81,359.484000,359.486000,1,1,1
60,360.159000,360.161000,1,1,1
81,362.144000,362.146000,1,1,1
64,362.803000,362.805000,1,1,1
81,364.781000,364.783000,1,1,1
78,365.472000,365.474000,1,1,1
81,367.449000,367.451000,1,1,1
43,368.124000,368.126000,1,1,1
81,370.102000,370.104000,1,1,1
47,370.776000,370.778000,1,1,1
81,372.761000,372.763000,1,1,1
52,373.445000,373.447000,1,1,1
81,375.430000,375.432000,1,1,1
102,376.089000,376.091000,1,1,1
100,376.549000,376.551000,1,1,1
101,377.733000,377.735000,1,1,1
103,378.067000,378.069000,1,1,1
47,379.041000,379.043000,1,1,1
81,381.026000,381.028000,1,1,1
72,381.685000,381.687000,1,1,1
81,383.663000,383.665000,1,1,1
45,384.337000,384.339000,1,1,1
81,386.322000,386.324000,1,1,1
53,386.998000,387.000000,1,1,1
81,388.976000,388.978000,1,1,1
44,389.642000,389.644000,1,1,1
81,391.620000,391.622000,1,1,1
42,392.311000,392.313000,1,1,1
81,394.289000,394.291000,1,1,1
69,394.955000,394.957000,1,1,1
81,396.932000,396.934000,1,1,1
201,397.582000,397.584000,1,0,NaN
61,397.607000,397.609000,1,1,1
81,399.592000,399.594000,1,1,1
74,400.801000,400.803000,1,1,1
81,402.786000,402.788000,1,1,1
102,403.453000,403.455000,1,1,1
100,404.130000,404.132000,1,1,1
201,404.731000,404.733000,1,0,NaN
101,405.315000,405.317000,1,1,1
103,405.431000,405.433000,1,1,1
58,406.097000,406.099000,1,1,1
81,408.075000,408.077000,1,1,1
73,408.774000,408.776000,1,1,1
81,410.759000,410.761000,1,1,1
79,411.410000,411.412000,1,1,1
201,412.987000,412.989000,1,0,NaN
81,413.388000,413.390000,1,1,1
52,414.362000,414.364000,1,1,1
81,416.340000,416.342000,1,1,1
64,417.015000,417.017000,1,1,1
81,418.993000,418.995000,1,1,1
76,419.667000,419.669000,1,1,1
81,421.652000,421.654000,1,1,1
79,422.311000,422.313000,1,1,1
81,424.289000,424.291000,1,1,1
67,424.963000,424.965000,1,1,1
81,426.941000,426.943000,1,1,1
56,427.632000,427.634000,1,1,1
81,429.610000,429.612000,1,1,1
102,430.301000,430.303000,1,1,1
100,430.568000,430.570000,1,1,1
201,431.111000,431.113000,1,0,NaN
101,431.752000,431.754000,1,1,1
103,432.286000,432.288000,1,1,1
66,432.970000,432.972000,1,1,1
81,434.955000,434.957000,1,1,1
102,435.614000,435.616000,1,1,1
100,435.807000,435.809000,1,1,1
201,436.390000,436.392000,1,0,NaN
101,436.991000,436.993000,1,1,1
103,437.591000,437.593000,1,1,1
41,438.282000,438.284000,1,1,1
81,440.260000,440.262000,1,1,1
74,440.951000,440.953000,1,1,1
201,441.945000,441.947000,1,0,NaN
81,442.929000,442.931000,1,1,1
48,443.921000,443.923000,1,1,1
81,445.906000,445.908000,1,1,1
45,446.589000,446.591000,1,1,1
81,448.567000,448.569000,1,1,1
65,449.250000,449.252000,1,1,1
81,451.228000,451.230000,1,1,1
