trial,trial_exp,run,block,trigger,start_s,end_s,allowed,match
137,136,1,2,41,615.672000,615.674000,1,1
137,136,1,2,81,618.332000,618.334000,1,1
138,137,1,2,50,618.875000,618.877000,1,1
138,137,1,2,81,621.535000,621.537000,1,1
139,138,1,2,64,622.086000,622.088000,1,1
139,138,1,2,81,624.746000,624.748000,1,1
140,139,1,2,65,625.272000,625.274000,1,1
140,139,1,2,81,627.932000,627.934000,1,1
141,140,1,2,102,628.466000,628.468000,1,1
141,140,1,2,100,629.586000,629.588000,1,1
141,140,1,2,101,630.846000,630.848000,1,1
141,140,1,2,103,631.121000,631.123000,1,1
142,141,1,2,55,631.977000,631.979000,1,1
142,141,1,2,81,634.638000,634.640000,1,1
143,142,1,2,58,635.188000,635.190000,1,1
143,142,1,2,81,637.849000,637.851000,1,1
144,143,1,2,72,638.383000,638.385000,1,1
144,143,1,2,81,641.043000,641.045000,1,1
145,144,1,2,57,641.577000,641.579000,1,1
145,144,1,2,81,644.237000,644.239000,1,1
146,145,1,2,72,644.755000,644.757000,1,1
146,145,1,2,150,645.525000,645.527000,1,GazeBreak
146,145,1,2,81,NaN,NaN,1,GazeBreak
147,146,1,2,102,648.074000,648.076000,1,1
147,146,1,2,100,648.619000,648.621000,1,1
147,146,1,2,101,649.878000,649.880000,1,1
147,146,1,2,103,650.729000,650.731000,1,1
148,147,1,2,42,651.560000,651.562000,1,1
148,147,1,2,81,654.221000,654.223000,1,1
149,148,1,2,102,654.755000,654.757000,1,1
149,148,1,2,100,655.783000,655.785000,1,1
149,148,1,2,101,657.042000,657.044000,1,1
149,148,1,2,103,657.410000,657.412000,1,1
150,149,1,2,62,658.249000,658.251000,1,1
150,149,1,2,81,660.910000,660.912000,1,1
151,150,1,2,62,661.427000,661.429000,1,1
151,150,1,2,81,664.082000,664.084000,1,1
152,151,1,2,41,664.638000,664.640000,1,1
152,151,1,2,81,667.293000,667.295000,1,1
153,152,1,2,68,667.841000,667.843000,1,1
153,152,1,2,81,670.501000,670.503000,1,1
154,153,1,2,74,671.027000,671.029000,1,1
154,153,1,2,150,671.563000,671.565000,1,GazeBreak
