trigger,start_s,end_s,allowed,match,match debug1
81,408.159000,408.161000,1,NaN,NaN
71,408.817000,408.819000,1,NaN,NaN
81,410.802000,410.804000,1,NaN,NaN
72,411.461000,411.463000,1,NaN,NaN
81,413.446000,413.448000,1,NaN,NaN
55,414.105000,414.107000,1,NaN,NaN
81,416.090000,416.092000,1,NaN,NaN
65,416.774000,416.776000,1,NaN,NaN
81,418.759000,418.761000,1,NaN,NaN
63,419.443000,419.445000,1,NaN,NaN
81,421.428000,421.430000,1,NaN,NaN
102,422.095000,422.097000,1,NaN,NaN
100,422.562000,422.564000,1,NaN,NaN
101,423.747000,423.749000,1,NaN,NaN
103,424.080000,424.082000,1,NaN,NaN
102,425.064000,425.066000,1,NaN,NaN
100,425.815000,425.817000,1,NaN,NaN
101,426.999000,427.001000,1,NaN,NaN
103,427.049000,427.051000,1,NaN,NaN
56,428.033000,428.035000,1,NaN,NaN
81,430.018000,430.020000,1,NaN,NaN
58,430.677000,430.679000,1,NaN,NaN
81,432.662000,432.664000,1,NaN,NaN
51,433.380000,433.382000,1,NaN,NaN
81,435.365000,435.367000,1,NaN,NaN
76,436.032000,436.034000,1,NaN,NaN
81,438.017000,438.019000,1,NaN,NaN
60,438.701000,438.703000,1,NaN,NaN
81,440.686000,440.688000,1,NaN,NaN
64,441.345000,441.347000,1,NaN,NaN
81,443.330000,443.332000,1,NaN,NaN
78,443.989000,443.990000,1,NaN,NaN
81,445.973000,445.975000,1,NaN,NaN
43,446.632000,446.634000,1,NaN,NaN
81,448.617000,448.619000,1,NaN,NaN
47,449.285000,449.287000,1,NaN,NaN
81,451.270000,451.272000,1,NaN,NaN
52,451.928000,451.930000,1,NaN,NaN
81,453.913000,453.915000,1,NaN,NaN
102,454.581000,454.583000,1,NaN,NaN
100,455.048000,455.050000,1,NaN,NaN
101,456.232000,456.234000,1,NaN,NaN
103,456.566000,456.568000,1,NaN,NaN
47,457.550000,457.552000,1,NaN,NaN
81,459.535000,459.537000,1,NaN,NaN
72,460.219000,460.221000,1,NaN,NaN
81,462.204000,462.206000,1,NaN,NaN
45,462.863000,462.865000,1,NaN,NaN
81,464.848000,464.850000,1,NaN,NaN
53,465.515000,465.517000,1,NaN,NaN
81,467.500000,467.502000,1,NaN,NaN
44,468.159000,468.161000,1,NaN,NaN
81,470.144000,470.146000,1,NaN,NaN
42,470.803000,470.805000,1,NaN,NaN
81,472.788000,472.790000,1,NaN,NaN
69,473.455000,473.457000,1,NaN,NaN
81,475.440000,475.442000,1,NaN,NaN
61,476.124000,476.126000,1,NaN,NaN
81,478.109000,478.111000,1,NaN,NaN
74,478.768000,478.770000,1,NaN,NaN
81,480.753000,480.755000,1,NaN,NaN
102,481.411000,481.413000,1,NaN,NaN
100,482.095000,482.097000,1,NaN,NaN
101,483.280000,483.282000,1,NaN,NaN
103,483.396000,483.398000,1,NaN,NaN
58,484.372000,484.374000,1,NaN,NaN
81,486.357000,486.359000,1,NaN,NaN
73,487.025000,487.026000,1,NaN,NaN
81,489.010000,489.011000,1,NaN,NaN
79,489.668000,489.670000,1,NaN,NaN
81,491.653000,491.655000,1,NaN,NaN
52,492.312000,492.314000,1,NaN,NaN
81,494.297000,494.299000,1,NaN,NaN
64,494.981000,494.983000,1,NaN,NaN
81,496.966000,496.968000,1,NaN,NaN
76,497.633000,497.635000,1,NaN,NaN
81,499.618000,499.620000,1,NaN,NaN
79,500.286000,500.288000,1,NaN,NaN
81,502.271000,502.273000,1,NaN,NaN
67,502.929000,502.931000,1,NaN,NaN
81,504.914000,504.916000,1,NaN,NaN
56,505.590000,505.592000,1,NaN,NaN
81,507.575000,507.577000,1,NaN,NaN
102,508.234000,508.236000,1,NaN,NaN
100,508.501000,508.503000,1,NaN,NaN
101,509.685000,509.687000,1,NaN,NaN
103,510.219000,510.221000,1,NaN,NaN
66,511.178000,511.180000,1,NaN,NaN
81,513.163000,513.165000,1,NaN,NaN
102,513.830000,513.832000,1,NaN,NaN
100,514.030000,514.032000,1,NaN,NaN
101,515.215000,515.217000,1,NaN,NaN
103,515.815000,515.817000,1,NaN,NaN
